experiment_begin_timestamp,experiment_sec,experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,humidity_2,target_temperature,target_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,fan_on,humidifyer_on,heater_on
-1000,0,1728344459.7683737,60,0,22.03,0.7237,22.01,0.6996,23,0.7,30,1728344460.926414,0,False,False,True
-1000,0,1728344459.7683737,60,1728344460.961359,22.1,0.725,22.06,0.7001000000000001,23,0.7,30,1728344490.9525287,0,False,False,True
-1000,0,1728344459.7683737,60,1728344520.9732873,22.16,0.7258,22.32,0.7008,23,0.7,30,1728344550.9917865,0,False,False,True
-1000,0,1728344459.7683737,60,1728344580.9942179,22.31,0.7293999999999999,22.72,0.6973999999999999,23,0.7,30,1728344610.9995925,0,False,False,True
-1000,0,1728344459.7683737,60,1728344641.0048938,22.56,0.7329000000000001,23.25,0.6898000000000001,23,0.7,30,1728344671.0332022,0,False,False,True
-1000,0,1728344459.7683737,60,1728344701.0262861,22.85,0.7347,23.79,0.6806,23,0.7,30,1728344731.0950775,0,False,False,True
-1000,0,1728344459.7683737,60,1728344761.0514686,23.12,0.735,24.33,0.6706000000000001,23,0.7,30,1728344791.1393976,0,False,False,True
-1000,0,1728344459.7683737,60,1728344821.0842974,23.49,0.7308,24.8,0.6502,23,0.7,30,1728344851.1750584,0,True,False,False
-1000,0,1728344459.7683737,60,1728344881.1197782,23.8,0.7205,25.09,0.6342,23,0.7,30,1728344911.1916175,0,True,False,False
-1000,0,1728344459.7683737,60,1728344941.1593978,24.01,0.6957,24.99,0.6012,23,0.7,30,1728344971.2081957,0,True,False,False
-1000,0,1728344459.7683737,60,1728345001.1901608,24.06,0.6790999999999999,24.52,0.6095,23,0.7,30,1728345031.2453372,0,True,True,False
-1000,0,1728345087.2976303,60,0,24.0,0.6738,24.27,0.6131000000000001,38.33,0.42,2,1728345088.288816,0,False,False,True
-1000,0,1728345087.2976303,60,1728345088.3335812,23.95,0.6706000000000001,23.85,0.6279,38.33,0.42,2,1728345146.8847628,0,False,False,True
-1000,0,1728345087.2976303,60,1728345148.3666465,23.86,0.6688,23.54,0.6381,38.33,0.42,2,1728345207.5278637,0,False,False,True
-1000,0,1728345228.1556532,60,0,23.84,0.6698000000000001,23.52,0.6419,18.33,0.42,2,1728345229.1095157,0,True,False,False
-1000,0,1728345246.8351815,60,0,23.8,0.6708,23.44,0.6442,38.33,0.42,2,1728345247.7556856,0,False,False,True
-1000,0,1728345246.8351815,60,1728345247.796724,23.75,0.6701,23.27,0.6459999999999999,38.33,0.42,2,1728345306.290745,0,False,False,True
-1000,0,1728345246.8351815,60,1728345307.823032,23.64,0.6723,23.18,0.6544,38.33,0.42,2,1728345366.9114516,0,False,False,True
-1000,0,1728345381.6856918,60,0,23.61,0.6739,23.19,0.6552,18.33,0.42,2,1728345382.686112,0,True,False,False
-1000,0,1728345401.8656402,60,0,23.6,0.6757,23.21,0.6569,38.33,0.42,2,1728345402.9108825,0,False,False,True
-1000,0,1728345401.8656402,60,1728345402.9559016,23.57,0.6787000000000001,23.26,0.6587000000000001,38.33,0.42,2,1728345461.461563,0,False,False,True
-1000,0,1728345401.8656402,60,1728345462.9968083,23.64,0.6847,23.54,0.6614,38.33,0.42,2,1728345522.0541627,0,False,False,True
-1000,0,1728345401.8656402,60,1728345523.0063603,23.8,0.691,24.08,0.6569,38.33,0.42,2,1728345582.5694542,0,False,False,True
-1000,0,1728345401.8656402,60,1728345583.0438159,24.05,0.6950000000000001,24.74,0.6484000000000001,38.33,0.42,2,1728345641.0730455,0,False,False,True
-1000,0,1728345401.8656402,60,1728345643.0677238,24.36,0.6978,25.3,0.639,38.33,0.42,2,1728345701.3537233,0,False,False,True
-1000,0,1728345401.8656402,60,1728345703.0894125,24.65,0.6985,25.93,0.6297,38.33,0.42,2,1728345761.6066225,0,False,False,True
-1000,0,1728345401.8656402,60,1728345763.114001,25.06,0.6983,26.5,0.6215999999999999,38.33,0.42,2,1728345821.8633993,0,False,False,True
-1000,0,1728345401.8656402,60,1728345823.1291344,25.41,0.6970999999999999,27.02,0.6147,38.33,0.42,2,1728345882.2026353,0,False,False,True
-1000,0,1728345401.8656402,60,1728345883.1643403,25.82,0.6958,27.51,0.6082,38.33,0.42,2,1728345942.4896157,0,False,False,True
-1000,0,1728345401.8656402,60,1728345943.1815567,26.2,0.6937000000000001,27.98,0.6023,38.33,0.42,2,1728346002.7486484,0,False,False,True
-1000,0,1728345401.8656402,60,1728346003.1961436,26.59,0.6912999999999999,28.4,0.5970000000000001,38.33,0.42,2,1728346063.0223114,0,False,False,True
-1000,0,1728345401.8656402,60,1728346063.2321956,26.95,0.6886,28.82,0.5927,38.33,0.42,2,1728346121.3416014,0,False,False,True
-1000,0,1728345401.8656402,60,1728346123.2519152,27.36,0.6862,29.25,0.5889,38.33,0.42,2,1728346181.6853456,0,False,False,True
-1000,0,1728345401.8656402,60,1728346183.2905085,27.71,0.6831,29.57,0.5853,38.33,0.42,2,1728346242.1128824,0,False,False,True
-1000,0,1728345401.8656402,60,1728346243.3081298,28.06,0.6801,29.98,0.5821000000000001,38.33,0.42,2,1728346302.438872,0,False,False,True
-1000,0,1728345401.8656402,60,1728346303.3301358,28.42,0.6770999999999999,30.27,0.5792,38.33,0.42,2,1728346362.8092601,0,False,False,True
-1000,0,1728345401.8656402,60,1728346363.3597744,28.78,0.6743000000000001,30.64,0.5765,38.33,0.42,2,1728346423.0906627,0,False,False,True
-1000,0,1728345401.8656402,60,1728346423.3693688,29.05,0.6709999999999999,30.92,0.5740999999999999,38.33,0.42,2,1728346481.5440176,0,False,False,True
-1000,0,1728345401.8656402,60,1728346483.3836293,29.44,0.6681999999999999,31.24,0.5715,38.33,0.42,2,1728346541.913319,0,False,False,True
-1000,0,1728345401.8656402,60,1728346543.4155161,29.75,0.6648999999999999,31.55,0.5695,38.33,0.42,2,1728346602.1770072,0,False,False,True
-1000,0,1728345401.8656402,60,1728346603.4416718,30.07,0.6620999999999999,31.81,0.5675,38.33,0.42,2,1728346662.5643187,0,False,False,True
-1000,0,1728345401.8656402,60,1728346663.454447,30.38,0.6594,32.12,0.5654,38.33,0.42,2,1728346722.8518093,0,False,False,True
-1000,0,1728345401.8656402,60,1728346723.4687393,30.63,0.6568,32.38,0.5638000000000001,38.33,0.42,2,1728346783.0849106,0,False,False,True
-1000,0,1728345401.8656402,60,1728346783.5004528,30.93,0.6541,32.64,0.5622,38.33,0.42,2,1728346843.4087405,0,False,False,True
-1000,0,1728345401.8656402,60,1728346843.5194936,31.24,0.6515000000000001,32.84,0.5609000000000001,38.33,0.42,2,1728346901.7909758,0,False,False,True
-1000,0,1728345401.8656402,60,1728346903.5331218,31.48,0.649,33.18,0.5596,38.33,0.42,2,1728346962.1201916,0,False,False,True
-1000,0,1728345401.8656402,60,1728346963.5462596,31.77,0.6465000000000001,33.35,0.5579,38.33,0.42,2,1728347022.430051,0,False,False,True
-1000,0,1728345401.8656402,60,1728347023.5555835,31.98,0.6439,33.58,0.5566,38.33,0.42,2,1728347082.7249823,0,False,False,True
-1000,0,1728345401.8656402,60,1728347083.582051,32.28,0.6423000000000001,33.81,0.5552,38.33,0.42,2,1728347143.097304,0,False,False,True
-1000,0,1728345401.8656402,60,1728347143.6134288,32.5,0.64,34.06,0.5540999999999999,38.33,0.42,2,1728347203.3643603,0,False,False,True
-1000,0,1728345401.8656402,60,1728347203.643465,32.79,0.6376,34.3,0.5527000000000001,38.33,0.42,2,1728347261.6827857,0,False,False,True
-1000,0,1728345401.8656402,60,1728347263.6851196,32.99,0.6358,34.52,0.5511,38.33,0.42,2,1728347322.3438756,0,False,False,True
-1000,0,1728345401.8656402,60,1728347323.7089205,33.25,0.6336,34.72,0.5501,38.33,0.42,2,1728347382.92392,0,False,False,True
-1000,0,1728345401.8656402,60,1728347383.7189322,33.46,0.6314000000000001,34.94,0.5489,38.33,0.42,2,1728347443.4271328,0,False,False,True
-1000,0,1728345401.8656402,60,1728347443.738796,33.69,0.6299,35.13,0.5477000000000001,38.33,0.42,2,1728347501.974855,0,False,False,True
-1000,0,1728345401.8656402,60,1728347503.7633548,33.89,0.6279,35.35,0.5463,38.33,0.42,2,1728347562.517228,0,False,False,True
-1000,0,1728345401.8656402,60,1728347563.7977364,34.12,0.6261,35.54,0.5452,38.33,0.42,2,1728347622.981251,0,False,False,True
-1000,0,1728345401.8656402,60,1728347623.8368597,34.34,0.6243,35.77,0.5441,38.33,0.42,2,1728347683.6225824,0,False,False,True
-1000,0,1728345401.8656402,60,1728347683.8658853,34.51,0.6227,35.89,0.5428000000000001,38.33,0.42,2,1728347742.0711195,0,False,False,True
-1000,0,1728345401.8656402,60,1728347743.8851244,34.72,0.6208,36.12,0.5418999999999999,38.33,0.42,2,1728347802.6277006,0,False,False,True
-1000,0,1728345401.8656402,60,1728347803.9092534,34.95,0.6191,36.29,0.5409,38.33,0.42,2,1728347863.1347003,0,False,False,True
-1000,0,1728345401.8656402,60,1728347863.9209266,35.12,0.6175,36.47,0.5399,38.33,0.42,2,1728347923.6349876,0,False,False,True
-1000,0,1728345401.8656402,60,1728347923.9485445,35.33,0.6156,36.6,0.5391,38.33,0.42,2,1728347982.2254937,0,False,False,True
-1000,0,1728345401.8656402,60,1728347983.9840176,35.51,0.6141,36.79,0.5378000000000001,38.33,0.42,2,1728348042.6426134,0,False,False,True
-1000,0,1728345401.8656402,60,1728348044.0209012,35.64,0.612,36.95,0.5372,38.33,0.42,2,1728348103.0886364,0,False,False,True
-1000,0,1728345401.8656402,60,1728348104.0460162,35.86,0.6109,37.13,0.5364,38.33,0.42,2,1728348163.5778813,0,False,False,True
-1000,0,1728345401.8656402,60,1728348164.0849137,35.99,0.6091,37.28,0.5356000000000001,38.33,0.42,2,1728348222.161584,0,False,False,True
-1000,0,1728345401.8656402,60,1728348224.1154706,36.16,0.6073,37.42,0.5346000000000001,38.33,0.42,2,1728348282.7402048,0,False,False,True
-1000,0,1728345401.8656402,60,1728348284.1400895,36.32,0.6059,37.55,0.5333,38.33,0.42,2,1728348343.297913,0,False,False,True
-1000,0,1728345401.8656402,60,1728348344.1649075,36.47,0.605,37.75,0.5326,38.33,0.42,2,1728348403.8480227,0,False,False,True
-1000,0,1728345401.8656402,60,1728348404.1955676,36.65,0.6037,37.84,0.5318,38.33,0.42,2,1728348462.3749793,0,False,False,True
-1000,0,1728345401.8656402,60,1728348464.2354703,36.77,0.6023,37.98,0.531,38.33,0.42,2,1728348522.9153264,0,False,False,True
-1000,0,1728345401.8656402,60,1728348524.2474072,36.95,0.6008,38.1,0.5303,38.33,0.42,2,1728348583.4645948,0,False,False,True
-1000,0,1728345401.8656402,60,1728348584.2873542,37.04,0.5995,38.26,0.5299,38.33,0.42,2,1728348644.078471,0,False,False,True
-1000,0,1728345401.8656402,60,1728348644.3157775,37.2,0.5985,38.35,0.5294,38.33,0.42,2,1728348702.468508,0,False,False,True
-1000,0,1728345401.8656402,60,1728348704.3415933,37.34,0.5970000000000001,38.46,0.5286,38.33,0.42,2,1728348762.8714716,0,False,False,True
-1000,0,1728345401.8656402,60,1728348764.3725028,37.47,0.5959000000000001,38.6,0.5282,38.33,0.42,2,1728348823.2602477,0,False,False,True
-1000,0,1728345401.8656402,60,1728348824.3891647,37.55,0.5952000000000001,38.73,0.5272,38.33,0.42,2,1728348883.638913,0,False,False,True
-1000,0,1728345401.8656402,60,1728348884.4252217,37.7,0.594,38.81,0.5261,38.33,0.42,2,1728348943.9965622,0,False,False,True
-1000,0,1728345401.8656402,60,1728348944.4460573,37.84,0.5928,38.95,0.5254,38.33,0.42,2,1728349002.4541636,0,False,False,True
-1000,0,1728345401.8656402,60,1728349004.4587424,37.96,0.5918,39.09,0.5244,38.33,0.42,2,1728349062.81372,0,False,False,True
-1000,0,1728345401.8656402,60,1728349064.4830682,38.05,0.5907,39.21,0.5236999999999999,38.33,0.42,2,1728349123.1089818,0,False,False,True
-1000,0,1728345401.8656402,60,1728349124.5083964,38.22,0.5897,39.3,0.5231,38.33,0.42,2,1728349183.424967,0,False,False,True
-1000,0,1728345401.8656402,60,1728349184.5279396,38.32,0.5886,39.39,0.5228,38.33,0.42,2,1728349243.7712593,0,False,False,True
-1000,0,1728345401.8656402,60,1728349244.559628,38.41,0.5626,39.39,0.4594,38.33,0.42,2,1728349302.6214826,0,True,False,False
-1000,0,1728345401.8656402,60,1728349304.5966325,38.38,0.5179,39.01,0.40950000000000003,38.33,0.42,2,1728349362.9720757,0,True,False,False
-1000,0,1728345401.8656402,60,1728349364.6355357,38.13,0.489,38.39,0.4155,38.33,0.42,2,1728349423.667542,0,False,False,True
-1000,0,1728345401.8656402,60,1728349424.6585848,37.93,0.4913,37.92,0.44070000000000004,38.33,0.42,2,1728349484.0154667,0,False,False,True
-1000,0,1728345401.8656402,60,1728349484.6659698,37.73,0.499,37.78,0.4565,38.33,0.42,2,1728349544.2399306,0,False,False,True
-1000,0,1728345401.8656402,60,1728349544.6879163,37.65,0.507,37.78,0.4662,38.33,0.42,2,1728349604.6031866,0,False,False,True
-1000,0,1728345401.8656402,60,1728349604.7059877,37.62,0.514,37.82,0.4723,38.33,0.42,2,1728349662.93331,0,False,False,True
-1000,0,1728345401.8656402,60,1728349664.7402017,37.59,0.5197999999999999,37.98,0.47619999999999996,38.33,0.42,2,1728349723.2686486,0,False,False,True
-1000,0,1728345401.8656402,60,1728349724.763578,37.62,0.5247999999999999,38.16,0.47869999999999996,38.33,0.42,2,1728349783.612711,0,False,False,True
-1000,0,1728345401.8656402,60,1728349784.7754676,37.69,0.5293,38.32,0.4804,38.33,0.42,2,1728349844.0276885,0,False,False,True
-1000,0,1728345401.8656402,60,1728349844.816025,37.76,0.5324,38.46,0.4814,38.33,0.42,2,1728349904.3737676,0,False,False,True
-1000,0,1728345401.8656402,60,1728349904.8379471,37.81,0.5354,38.67,0.48240000000000005,38.33,0.42,2,1728349964.6989937,0,False,False,True
-1000,0,1728345401.8656402,60,1728349964.8766572,37.94,0.5377000000000001,38.79,0.483,38.33,0.42,2,1728350022.9305613,0,False,False,True
-1000,0,1728345401.8656402,60,1728350024.8941443,38.02,0.539,38.98,0.4832,38.33,0.42,2,1728350083.2308524,0,False,False,True
-1000,0,1728345401.8656402,60,1728350084.9103389,38.15,0.5406000000000001,39.09,0.4833,38.33,0.42,2,1728350143.4843707,0,False,False,True
-1000,0,1728345401.8656402,60,1728350144.9275677,38.24,0.5417000000000001,39.26,0.48380000000000006,38.33,0.42,2,1728350203.6678293,0,False,False,True
-1000,0,1728345401.8656402,60,1728350204.9650183,38.39,0.5417000000000001,39.38,0.4733,38.33,0.42,2,1728350263.636208,0,True,False,False
-1000,0,1728345401.8656402,60,1728350265.00031,38.41,0.5042,39.29,0.40909999999999996,38.33,0.42,2,1728350323.8961647,0,True,False,False
-1000,0,1728345401.8656402,60,1728350325.0244315,38.3,0.4671,38.8,0.37950000000000006,38.33,0.42,2,1728350384.2737045,0,True,False,False
-1000,0,1728345401.8656402,60,1728350385.0650523,38.09,0.45630000000000004,38.22,0.4001,38.33,0.42,2,1728350444.8565273,0,False,False,True
-1000,0,1728345401.8656402,60,1728350445.1001136,37.87,0.4626,37.84,0.4207,38.33,0.42,2,1728350503.2407217,0,False,False,True
