experiment_begin_timestamp,experiment_sec,experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,humidity_2,target_temperature,target_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,fan_on,humidifyer_on,heater_on,,,
-1000,0,1728345401.86564,60,1728356387.75506,37.77,0.4454,37.68,0.4211,38.33,0.42,2,1728356446.87168,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728356447.79455,37.74,0.4528,37.57,0.4293,38.33,0.42,2,1728356507.18388,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728356507.83567,37.9,0.4551,37.67,0.4337,38.33,0.42,2,1728356567.46913,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728356567.84855,38.11,0.4552,37.82,0.4355,38.33,0.42,2,1728356627.79753,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728356627.87193,38.37,0.4473,38.02,0.4304,38.33,0.42,2,1728356686.29214,0,True,False,False,,,
-1000,0,1728345401.86564,60,1728356687.89701,38.3,0.4142,38.04,0.3957,38.33,0.42,2,1728356746.61431,0,False,True,True,,,
-1000,0,1728345401.86564,60,1728356747.91155,37.89,0.442,37.78,0.4181,38.33,0.42,2,1728356806.90875,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728356807.92475,37.75,0.4512,37.6,0.4282,38.33,0.42,2,1728356867.17292,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728356867.96035,37.83,0.4542,37.67,0.4327,38.33,0.42,2,1728356927.39543,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728356927.9801,38.09,0.4545,37.79,0.4346,38.33,0.42,2,1728356987.68345,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728356987.99384,38.38,0.4523,38.01,0.4343,38.33,0.42,2,1728357046.2864,0,True,False,False,,,
-1000,0,1728345401.86564,60,1728357048.02951,38.36,0.4137,38.04,0.3957,38.33,0.42,2,1728357106.66371,0,True,True,False,,,
-1000,0,1728345401.86564,60,1728357108.0651,37.88,0.4413,37.79,0.4179,38.33,0.42,2,1728357167.20267,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728357168.09175,37.73,0.4511,37.59,0.4276,38.33,0.42,2,1728357227.46061,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728357228.11236,37.86,0.4545,37.66,0.4327,38.33,0.42,2,1728357287.6577,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728357288.14291,38.04,0.455,37.78,0.4348,38.33,0.42,2,1728357347.98134,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728357348.15907,38.32,0.454,37.97,0.4356,38.33,0.42,2,1728357406.22228,0,True,False,False,,,
-1000,0,1728345401.86564,60,1728357408.19955,38.43,0.4124,38.08,0.3951,38.33,0.42,2,1728357466.54286,0,True,True,False,,,
-1000,0,1728345401.86564,60,1728357468.21387,37.96,0.4386,37.85,0.4148,38.33,0.42,2,1728357526.92118,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728357528.25108,37.74,0.4496,37.61,0.4251,38.33,0.42,2,1728357587.25832,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728357588.28201,37.82,0.454,37.62,0.4315,38.33,0.42,2,1728357647.64598,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728357648.29674,38,0.4547,37.78,0.4345,38.33,0.42,2,1728357707.98218,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728357708.32913,38.27,0.4536,37.91,0.435,38.33,0.42,2,1728357768.25813,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728357768.36793,38.38,0.4135,38.06,0.3963,38.33,0.42,2,1728357826.59104,0,True,True,False,,,
-1000,0,1728345401.86564,60,1728357828.39779,37.95,0.4377,37.82,0.4142,38.33,0.42,2,1728357887.64065,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728357888.42637,37.75,0.4489,37.69,0.4248,38.33,0.42,2,1728357947.92852,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728357948.44471,37.85,0.4534,37.66,0.4312,38.33,0.42,2,1728358008.23439,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358008.47707,38.04,0.4538,37.8,0.4337,38.33,0.42,2,1728358066.5345,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358068.50957,38.31,0.453,37.93,0.4343,38.33,0.42,2,1728358126.81596,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358128.5434,38.41,0.4123,38.1,0.3954,38.33,0.42,2,1728358188.32547,0,True,True,False,,,
-1000,0,1728345401.86564,60,1728358188.56943,37.97,0.4382,37.84,0.4151,38.33,0.42,2,1728358246.59622,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358248.6114,37.7,0.4498,37.65,0.4255,38.33,0.42,2,1728358306.92634,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358308.62393,37.81,0.4543,37.59,0.4317,38.33,0.42,2,1728358367.27386,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358368.65825,37.99,0.4548,37.77,0.4345,38.33,0.42,2,1728358427.5084,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358428.67226,38.24,0.454,37.9,0.4349,38.33,0.42,2,1728358487.82677,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358488.68089,38.42,0.4153,38.1,0.399,38.33,0.42,2,1728358546.92433,0,True,True,False,,,
-1000,0,1728345401.86564,60,1728358548.71584,38.05,0.4367,37.86,0.4141,38.33,0.42,2,1728358607.73294,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358608.7586,37.76,0.4487,37.7,0.4246,38.33,0.42,2,1728358667.95027,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358668.80026,37.82,0.4536,37.63,0.4311,38.33,0.42,2,1728358728.27373,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358728.81146,37.99,0.4541,37.8,0.4337,38.33,0.42,2,1728358788.56838,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358788.84775,38.28,0.453,37.93,0.4342,38.33,0.42,2,1728358846.82863,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358848.8576,38.44,0.4122,38.1,0.3959,38.33,0.42,2,1728358907.10662,0,True,True,False,,,
-1000,0,1728345401.86564,60,1728358908.89699,37.96,0.4377,37.84,0.4145,38.33,0.42,2,1728358967.88811,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728358968.92942,37.67,0.4497,37.57,0.425,38.33,0.42,2,1728359028.21741,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728359028.97191,37.72,0.4542,37.54,0.4315,38.33,0.42,2,1728359088.60091,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728359088.98297,37.95,0.4546,37.71,0.4338,38.33,0.42,2,1728359148.90919,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728359149.0164,38.23,0.4528,37.85,0.4345,38.33,0.42,2,1728359207.2044,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728359209.04692,38.43,0.4183,38.05,0.4034,38.33,0.42,2,1728359268.22086,0,True,True,False,,,
-1000,0,1728345401.86564,60,1728359269.07656,38.07,0.4322,37.88,0.4107,38.33,0.42,2,1728359328.55584,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728359329.10492,37.74,0.4467,37.64,0.4221,38.33,0.42,2,1728359388.89754,0,False,False,True,,,
-1000,0,1728345401.86564,60,1728359389.14279,37.71,0.4521,37.58,0.4292,38.33,0.42,2,1728359447.26117,0,False,False,True,,,
