experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1768957255.0221,20,1769054391.8804615,37.39,0.5858,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054411.704237,1769054297.1209557,1769052489.6848063,0.00885,1.0,0.00885,1.0,0,0,1,False
1768957255.0221,20,1769054412.120084,37.39,0.5808,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054432.035542,1769054297.1209557,1769052489.6848063,0.00885,1.0,0.00885,1.0,0,0,1,False
1768957255.0221,20,1769054432.4542205,37.44,0.5745,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054452.321444,1769054297.1209557,1769052489.6848063,0.00827,1.0,0.00827,1.0,0,0,1,False
1768957255.0221,20,1769054452.7376502,37.44,0.5676,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054472.6381788,1769054297.1209557,1769052489.6848063,0.00934,1.0,0.00934,1.0,False,True,1,False
1768957255.0221,20,1769054473.0572875,37.47,0.5811999999999999,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054493.0156062,1769054477.7125595,1769052489.6848063,0.00803,1.0,0.00803,1.0,0,0,1,False
1768957255.0221,20,1769054493.4297082,37.5,0.5816,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054512.080055,1769054477.7125595,1769052489.6848063,0.00815,1.0,0.00815,1.0,0,0,1,False
1768957255.0221,20,1769054513.7395942,37.54,0.5761999999999999,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054533.6950872,1769054477.7125595,1769052489.6848063,0.00851,1.0,0.00851,1.0,0,0,0,False
1768957255.0221,20,1769054533.7571332,37.57,0.5689000000000001,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054553.7094493,1769054477.7125595,1769052489.6848063,0.00925,1.0,0.00925,1.0,0,1,0,False
1768957255.0221,20,1769054553.765497,37.53,0.5795,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054573.7086265,1769054477.7125595,1769052489.6848063,0.00858,1.0,0.00858,1.0,0,0,0,False
1768957255.0221,20,1769054573.770657,37.57,0.5855,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054593.7483714,1769054477.7125595,1769052489.6848063,0.00888,1.0,0.00888,1.0,0,0,0,False
