experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,humidity_2,egg_turning_on,target_temperature,boost_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,boost_on,fan_on
1779121867.8907678,20,0,18.23,0.6444,17.52,0.7056,True,37.5,36.5,38.6,0.95,0.005,0.0,0.6,0.03,2,1779121869.0282285,1779121869.0700529,0,-10,-10,-10,-10,0,0,1,1,False
1779121867.8907678,20,1779121879.0440662,18.24,0.6436000000000001,17.55,0.7044,True,37.5,36.5,38.6,0.95,0.005,0.0,0.6,0.03,2,1779121889.0735812,1779121869.0700529,0,-10,-10,-10,-10,0,0,1,1,False
1779121867.8907678,20,1779121899.0845218,18.25,0.6448999999999999,17.53,0.7073999999999999,True,37.5,36.5,38.6,0.95,0.005,0.0,0.6,0.03,2,1779121909.1009812,1779121869.0700529,0,-10,-10,-10,-10,0,0,1,1,False
1779121867.8907678,20,1779121919.1149166,18.26,0.6458,17.56,0.7068000000000001,True,37.5,36.5,38.6,0.95,0.005,0.0,0.6,0.03,2,1779121929.1329522,1779121869.0700529,0,-10,-10,-10,-10,0,0,1,1,False
1779121867.8907678,20,1779121939.145251,18.27,0.6456000000000001,17.6,0.7053,True,37.5,36.5,38.6,0.95,0.005,0.0,0.6,0.03,2,1779121949.1588547,1779121869.0700529,0,-10,-10,-10,-10,0,0,1,1,False
1779121867.8907678,20,1779121959.1702342,18.28,0.6456999999999999,17.67,0.7047,True,37.5,36.5,38.6,0.95,0.005,0.0,0.6,0.03,2,1779121969.1841435,1779121869.0700529,0,-10,-10,-10,-10,0,0,1,1,False
1779121867.8907678,20,1779121979.196958,18.28,0.6455,17.69,0.7041,True,37.5,36.5,38.6,0.95,0.005,0.0,0.6,0.03,2,1779121989.2126741,1779121869.0700529,0,-10,-10,-10,-10,0,0,1,1,False
1779121867.8907678,20,1779121999.2293117,18.27,0.6456999999999999,17.74,0.7040000000000001,True,37.5,36.5,38.6,0.95,0.005,0.0,0.6,0.03,2,1779122009.2465994,1779121869.0700529,0,-10,-10,-10,-10,0,0,1,1,False
1779121867.8907678,20,1779122019.2578537,18.27,0.6459,17.72,0.7031000000000001,True,37.5,36.5,38.6,0.95,0.005,0.0,0.6,0.03,2,1779122029.273887,1779121869.0700529,0,-10,-10,-10,-10,0,0,1,1,False
1779122048.3534627,20,0,18.28,0.6456999999999999,17.73,0.7026000000000001,True,37.5,36.5,38.6,0.95,0.005,0.0,0.6,0.03,2,1779122049.4573164,1779122049.5026295,0,-10,-10,-10,-10,0,0,1,1,False
1779122048.3534627,20,1779122059.4723308,18.29,0.6455,17.77,0.7025,True,37.5,36.5,38.6,0.95,0.005,0.0,0.6,0.03,2,1779122069.490932,1779122049.5026295,0,-10,-10,-10,-10,0,0,1,1,False
